temp,x,pressure,viscosity
25,0,1,0.35
25,0.169293039,1,0.39
25,0.31438116,1,0.51
25,0.44010912,1,0.62
25,0.550109601,1,0.74
25,0.647159951,1,0.81
25,0.733419925,1,0.9
25,0.810594316,1,0.93
25,0.880046756,1,0.95
25,0.942880998,1,0.935
25,1,1,0.89
25,0,100,0.36
25,0.169293039,100,0.41
25,0.31438116,100,0.53
25,0.44010912,100,0.64
25,0.550109601,100,0.75
25,0.647159951,100,0.83
25,0.733419925,100,0.91
25,0.810594316,100,0.94
25,0.880046756,100,0.97
25,0.942880998,100,0.94
25,1,100,0.89
25,0,200,0.38
25,0.169293039,200,0.45
25,0.31438116,200,0.57
25,0.44010912,200,0.69
25,0.550109601,200,0.79
25,0.647159951,200,0.85
25,0.733419925,200,0.915
25,0.810594316,200,0.945
25,0.880046756,200,0.98
25,0.942880998,200,0.95
25,1,200,0.89
25,0,300,0.4
25,0.169293039,300,0.48
25,0.31438116,300,0.595
25,0.44010912,300,0.7
25,0.550109601,300,0.805
25,0.647159951,300,0.87
25,0.733419925,300,0.93
25,0.810594316,300,0.96
25,0.880046756,300,0.99
25,0.942880998,300,0.95
25,1,300,0.893
25,0,500,0.445
25,0.169293039,500,0.5
25,0.31438116,500,0.62
25,0.44010912,500,0.73
25,0.550109601,500,0.84
25,0.647159951,500,0.895
25,0.733419925,500,0.96
25,0.810594316,500,0.997
25,0.880046756,500,1.01
25,0.942880998,500,0.96
25,1,500,0.897
25,0,750,0.48
25,0.169293039,750,0.57
25,0.31438116,750,0.69
25,0.44010912,750,0.795
25,0.550109601,750,0.9
25,0.647159951,750,0.95
25,0.733419925,750,1.01
25,0.810594316,750,1.04
25,0.880046756,750,1.04
25,0.942880998,750,0.97
25,1,750,0.898
25,0,1000,0.54
25,0.169293039,1000,0.6
25,0.31438116,1000,0.71
25,0.44010912,1000,0.83
25,0.550109601,1000,0.93
25,0.647159951,1000,1
25,0.733419925,1000,1.05
25,0.810594316,1000,1.07
25,0.880046756,1000,1.04
25,0.942880998,1000,0.98
25,1,1000,0.901
