temp,x,pressure,viscosity
25,1,1,0.35
25,0.830706961,1,0.39
25,0.68561884,1,0.51
25,0.55989088,1,0.62
25,0.449890399,1,0.74
25,0.352840049,1,0.81
25,0.266580075,1,0.9
25,0.189405684,1,0.93
25,0.119953244,1,0.95
25,0.057119002,1,0.935
25,0,1,0.89
25,1,100,0.36
25,0.830706961,100,0.41
25,0.68561884,100,0.53
25,0.55989088,100,0.64
25,0.449890399,100,0.75
25,0.352840049,100,0.83
25,0.266580075,100,0.91
25,0.189405684,100,0.94
25,0.119953244,100,0.97
25,0.057119002,100,0.94
25,0,100,0.89
25,1,200,0.38
25,0.830706961,200,0.45
25,0.68561884,200,0.57
25,0.55989088,200,0.69
25,0.449890399,200,0.79
25,0.352840049,200,0.85
25,0.266580075,200,0.915
25,0.189405684,200,0.945
25,0.119953244,200,0.98
25,0.057119002,200,0.95
25,0,200,0.89
25,1,300,0.4
25,0.830706961,300,0.48
25,0.68561884,300,0.595
25,0.55989088,300,0.7
25,0.449890399,300,0.805
25,0.352840049,300,0.87
25,0.266580075,300,0.93
25,0.189405684,300,0.96
25,0.119953244,300,0.99
25,0.057119002,300,0.95
25,0,300,0.893
25,1,500,0.445
25,0.830706961,500,0.5
25,0.68561884,500,0.62
25,0.55989088,500,0.73
25,0.449890399,500,0.84
25,0.352840049,500,0.895
25,0.266580075,500,0.96
25,0.189405684,500,0.997
25,0.119953244,500,1.01
25,0.057119002,500,0.96
25,0,500,0.897
25,1,750,0.48
25,0.830706961,750,0.57
25,0.68561884,750,0.69
25,0.55989088,750,0.795
25,0.449890399,750,0.9
25,0.352840049,750,0.95
25,0.266580075,750,1.01
25,0.189405684,750,1.04
25,0.119953244,750,1.04
25,0.057119002,750,0.97
25,0,750,0.898
25,1,1000,0.54
25,0.830706961,1000,0.6
25,0.68561884,1000,0.71
25,0.55989088,1000,0.83
25,0.449890399,1000,0.93
25,0.352840049,1000,1
25,0.266580075,1000,1.05
25,0.189405684,1000,1.07
25,0.119953244,1000,1.04
25,0.057119002,1000,0.98
25,0,1000,0.901
35,1,1,0.2981
35,0.830706961,1,0.3317
35,0.68561884,1,0.4332
35,0.55989088,1,0.526
35,0.449890399,1,0.6272
35,0.352840049,1,0.686
35,0.266580075,1,0.7616
35,0.189405684,1,0.7864
35,0.119953244,1,0.8029
35,0.057119002,1,0.7897
35,0,1,0.7514
35,1,100,0.3064
35,0.830706961,100,0.3484
35,0.68561884,100,0.4498
35,0.55989088,100,0.5425
35,0.449890399,100,0.6351
35,0.352840049,100,0.7023
35,0.266580075,100,0.7694
35,0.189405684,100,0.7942
35,0.119953244,100,0.819
35,0.057119002,100,0.7933
35,0,100,0.7507
35,1,200,0.3231
35,0.830706961,200,0.382
35,0.68561884,200,0.4833
35,0.55989088,200,0.5844
35,0.449890399,200,0.6684
35,0.352840049,200,0.7186
35,0.266580075,200,0.7729
35,0.189405684,200,0.7977
35,0.119953244,200,0.8267
35,0.057119002,200,0.801
35,0,200,0.75
35,1,300,0.3398
35,0.830706961,300,0.4071
35,0.68561884,300,0.504
35,0.55989088,300,0.5923
35,0.449890399,300,0.6805
35,0.352840049,300,0.7348
35,0.266580075,300,0.7849
35,0.189405684,300,0.8097
35,0.119953244,300,0.8344
35,0.057119002,300,0.8003
35,0,300,0.7519
35,1,500,0.3774
35,0.830706961,500,0.4234
35,0.68561884,500,0.5243
35,0.55989088,500,0.6166
35,0.449890399,500,0.7088
35,0.352840049,500,0.7546
35,0.266580075,500,0.8088
35,0.189405684,500,0.8394
35,0.119953244,500,0.8498
35,0.057119002,500,0.8073
35,0,500,0.7539
35,1,750,0.4061
35,0.830706961,750,0.4816
35,0.68561884,750,0.5822
35,0.55989088,750,0.67
35,0.449890399,750,0.7578
35,0.352840049,750,0.7992
35,0.266580075,750,0.849
35,0.189405684,750,0.8736
35,0.119953244,750,0.8731
35,0.057119002,750,0.8139
35,0,750,0.7531
35,1,1000,0.4559
35,0.830706961,1000,0.5058
35,0.68561884,1000,0.5977
35,0.55989088,1000,0.698
35,0.449890399,1000,0.7813
35,0.352840049,1000,0.8394
35,0.266580075,1000,0.8807
35,0.189405684,1000,0.8968
35,0.119953244,1000,0.8711
35,0.057119002,1000,0.8204
35,0,1000,0.7539
40,1,1,0.2765
40,0.83070696,1,0.3074
40,0.68561884,1,0.4012
40,0.55989088,1,0.4869
40,0.4498904,1,0.5803
40,0.35284005,1,0.6344
40,0.26658008,1,0.7041
40,0.18940568,1,0.7269
40,0.11995324,1,0.7418
40,0.057119,1,0.7295
40,0,1,0.6939
40,1,100,0.2840
40,0.83070696,100,0.3227
40,0.68561884,100,0.4164
40,0.55989088,100,0.5020
40,0.4498904,100,0.5874
40,0.35284005,100,0.6493
40,0.26658008,100,0.7110
40,0.18940568,100,0.7337
40,0.11995324,100,0.7565
40,0.057119,100,0.7325
40,0,100,0.6930
40,1,200,0.2994
40,0.83070696,200,0.3538
40,0.68561884,200,0.4472
40,0.55989088,200,0.5405
40,0.4498904,200,0.6179
40,0.35284005,200,0.6640
40,0.26658008,200,0.7140
40,0.18940568,200,0.7367
40,0.11995324,200,0.7633
