temp,x,pressure,viscosity
10.0,0,1,1.311
10,0.15,1,2.36
10,0.25,1,2.551
10,0.3,1,2.5
10,0.35,1,2.419
10,0.5,1,1.971
10,0.75,1,1.272
10,1,1,0.6953
10,0,99.1,1.301
10,0.15,99.1,2.364
10,0.25,99.1,2.588
10,0.3,99.1,2.575
10,0.35,99.1,2.491
10,0.5,99.1,2.044
10,0.75,99.1,1.327
10,1,99.1,0.7394
10,0,197.2,1.292
10,0.15,197.2,2.378
10,0.25,197.2,2.637
10,0.3,197.2,2.616
10,0.35,197.2,2.561
10,0.5,197.2,2.095
10,0.75,197.2,1.374
10,1,197.2,0.7821
10,0,295.2,1.284
10,0.15,295.2,2.381
10,0.25,295.2,2.667
10,0.3,295.2,2.656
10,0.35,295.2,2.624
10,0.5,295.2,2.152
10,0.75,295.2,1.426
10,1,295.2,0.8147
10,0,393.3,1.278
10,0.15,393.3,2.399
10,0.25,393.3,2.708
10,0.3,393.3,2.737
10,0.35,393.3,2.694
10,0.5,393.3,2.225
10,0.75,393.3,1.472
10,1,393.3,0.8611
10,0,491.4,1.27
10,0.15,491.4,2.408
10,0.25,491.4,2.733
10,0.3,491.4,2.793
10,0.35,491.4,2.767
10,0.5,491.4,2.275
10,0.75,491.4,1.528
10,1,491.4,0.8834
10,0,589.4,1.268
10,0.15,589.4,2.428
10,0.25,589.4,2.756
10,0.3,589.4,2.848
10,0.35,589.4,2.835
10,0.5,589.4,2.346
10,0.75,589.4,1.581
10,1,589.4,0.9164
10,0,687.5,1.264
10,0.15,687.5,2.448
10,0.25,687.5,2.792
10,0.3,687.5,2.902
10,0.35,687.5,2.906
10,0.5,687.5,2.384
10,0.75,687.5,1.624
10,1,687.5,0.9508
25,0,1,0.8911
25,0.15,1,1.461
25,0.25,1,1.581
25,0.3,1,1.575
25,0.35,1,1.536
25,0.5,1,1.325
25,0.75,1,0.9031
25,1,1,0.5459
25,0,99.1,0.8895
25,0.15,99.1,1.464
25,0.25,99.1,1.611
25,0.3,99.1,1.617
25,0.35,99.1,1.62
25,0.5,99.1,1.362
25,0.75,99.1,0.977
25,1,99.1,0.5957
25,0,197.2,0.8882
25,0.15,197.2,1.469
25,0.25,197.2,1.625
25,0.3,197.2,1.631
25,0.35,197.2,1.634
25,0.5,197.2,1.404
25,0.75,197.2,1.012
25,1,197.2,0.622
25,0,295.2,0.8872
25,0.15,295.2,1.473
25,0.25,295.2,1.646
