id,name,manufacturer,silica_type,h,s_star,a,b,c28,c7,eb,usp_type,phase_type
772,Agilent 5 Prep C18 Scalar,Agilent Technologies,B,1.08,0.046,0.084,-0.037,0.075,0.018,12.6,L1,C18
641,Poroshell 120 Bonus-RP,Agilent Technologies,EP,0.686,-0.03,-0.573,0.18,-0.67,-0.017,3.98,L60,EP
637,Poroshell 120 EC-C18,Agilent Technologies,B,1.02,0.008,-0.13,-0.004,0.161,0.123,6.92,L1,C18
638,Poroshell 120 EC-C8,Agilent Technologies,B,0.877,0.011,-0.232,0.023,0.127,0.09,4.84,L7,C8
639,Poroshell 120 EC-CN,Agilent Technologies,CN,0.421,-0.057,-0.476,0.002,0.045,0.87,0.95,L10,CN
694,Poroshell 120 HPH C18,Agilent Technologies,B,1.03,0.005,-0.14,-0.014,0.073,-0.004,6.1,L1,C18
693,Poroshell 120 HPH C8,Agilent Technologies,B,0.887,0.01,-0.25,0.008,-0.019,-0.073,4.18,L7,C8
695,Poroshell 120 PFP,Agilent Technologies,fluoro,0.63,-0.059,-0.46,0.015,-0.038,0.741,2.88,L43,F
640,Poroshell 120 Phenyl-Hexyl,Agilent Technologies,phenyl,0.752,-0.083,-0.394,0.018,0.136,0.14,3.59,L11,Phenyl
644,Poroshell 120 SB-AQ,Agilent Technologies,EP,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.15,L60,EP
642,Poroshell 120 SB-C18,Agilent Technologies,B,0.956,-0.041,0.168,0.025,0.21,0.763,5.44,L1,C18
643,Poroshell 120 SB-C8,Agilent Technologies,B,0.726,-0.087,0.068,0.044,0.087,0.807,3.56,L7,C8
369,Zorbax Bonus RP,Agilent Technologies,EP,0.65,0.1,-1.04,0.37,-2.97,-1.1,4.5,L60,EP
1,Zorbax C18,Agilent Technologies,A,1.08,0.05,0.47,0.06,1.48,1.56,10.7,L1,C18
2,Zorbax C8,Agilent Technologies,A,0.97,-0.04,0.21,0.17,0.97,1.05,8.3,L7,C8
486,Zorbax Eclipse PAH,Agilent Technologies,B,1.03,-0.01,0.68,-0.05,0.07,1.4,5.9,L1,C18
376,Zorbax Eclipse Plus C18,Agilent Technologies,B,1.03,0,-0.07,-0.02,0,0.02,7.8,L1,C18
377,Zorbax Eclipse Plus C8,Agilent Technologies,B,0.88,0.01,-0.17,0,-0.04,0.05,5.2,L1,C18
3,Zorbax Eclipse XDB-C18,Agilent Technologies,B,1.07,0.02,-0.06,-0.03,0.05,0.08,9.1,L1,C18
4,Zorbax Eclipse XDB-C8,Agilent Technologies,B,0.91,0.02,-0.21,0,0,0.01,6.6,L7,C8
19,Zorbax Eclipse XDB-CN,Agilent Technologies,CN,0.45,-0.06,-0.31,0,0.07,0.99,1.3,L10,CN
5,Zorbax Extend C18,Agilent Technologies,B,1.09,0.05,0.01,-0.04,0.03,0.01,8.4,L1,C18
6,Zorbax Rx-18,Agilent Technologies,B,1.07,0.03,0.3,-0.03,0.09,0.41,7.7,L1,C18
7,Zorbax Rx-C8,Agilent Technologies,B,0.79,-0.07,0.11,0.01,0.01,0.94,5,L7,C8
15,Zorbax SB-AQ,Agilent Technologies,EP,0.59,-0.12,-0.08,0.03,-0.13,0.73,2.5,,EP
18,Zorbax SB-CN,Agilent Technologies,CN,0.5,-0.1,-0.22,0.04,-0.14,1.04,1.7,L10,CN
16,Zorbax SB-Phenyl,Agilent Technologies,phenyl,0.62,-0.16,0.06,0.03,0.03,1.08,2.7,L11,Phenyl
8,Zorbax StableBond 300A C18,Agilent Technologies,B,0.9,-0.05,0.04,0.04,0.25,0.7,2.2,L1,C18
9,Zorbax StableBond 300A C3,Agilent Technologies,B,0.52,-0.12,-0.19,0.04,0.05,0.35,0.7,L56,C3
10,Zorbax StableBond 300A C8,Agilent Technologies,B,0.7,-0.08,0,0.04,0.14,0.82,1.3,L7,C8
11,Zorbax StableBond 80A C18,Agilent Technologies,B,0.99,-0.03,0.26,0,0.13,1.04,7.6,L1,C18
12,Zorbax StableBond 80A C3,Agilent Technologies,B,0.6,-0.12,-0.08,0.03,-0.08,0.81,2.8,L56,C3
13,Zorbax StableBond 80A C8,Agilent Technologies,B,0.79,-0.07,0.13,0.01,0.01,1.02,5.1,L7,C8
17,Zorbax XDB-Phenyl,Agilent Technologies,phenyl,0.66,-0.12,-0.24,0.01,0.06,0.58,3.2,L11,Phenyl
435,Microsorb 100-5 C8,Agilent Technologies/Varian,A,0.87,0.06,0.09,0.19,0.61,0.82,5.4,L7,C8
436,Microsorb 100-5 Phenyl,Agilent Technologies/Varian,phenyl,0.71,-0.14,-0.19,0.16,0.6,0.78,3.1,L11,phenyl
437,Microsorb 300-5 C4,Agilent Technologies/Varian,B,0.66,-0.02,-0.31,0.03,0.2,0.41,1,L26,C4
438,Microsorb-MV 100 CN,Agilent Technologies/Varian,CN,0.35,-0.24,-0.85,-0.02,0.14,0.78,1.3,L10,CN
279,OmniSpher 5 C18,Agilent Technologies/Varian,B,1.05,0.05,-0.03,-0.02,0.12,0.05,10.9,L1,C18
455,Polaris Amide-C18,Agilent Technologies/Varian,EP,0.84,0.11,-0.33,0.34,-1.65,-0.55,4.2,L60,EP
280,Polaris C18-A,Agilent Technologies/Varian,EP,0.92,0,-0.22,0.06,0.14,0.16,5.2,L1,EP
202,Polaris C18-Ether,Agilent Technologies/Varian,EP,0.94,-0.01,-0.12,0.02,0.16,0.55,5.5,,EP
281,Polaris C8-A,Agilent Technologies/Varian,EP,0.6,0,-0.6,0.1,-0.07,0.2,2.2,L7,EP
203,Polaris C8-Ether,Agilent Technologies/Varian,EP,0.7,-0.02,-0.31,0.04,0.09,0.26,1.8,,EP
282,Pursuit C18,Agilent Technologies/Varian,B,1,0,-0.16,0.01,0.24,0.22,6.2,L1,C18
457,Pursuit DP,Agilent Technologies/Varian,phenyl,0.57,-0.13,-0.53,0.04,0.15,0.26,1.7,,Phenyl
458,Pursuit PFP,Agilent Technologies/Varian,F,0.65,-0.08,-0.25,-0.02,0.05,0.53,2.2,L43,F
459,Pursuit UPS C18,Agilent Technologies/Varian,B,1.06,0.06,-0.05,0,-0.07,0.2,4.6,L1,C18
490,Pursuit XRs C-18,Agilent Technologies/Varian,B,1.04,0.03,-0.12,-0.03,-0.01,-0.1,11.7,L1,C18
